Client: Synchrony
"Program: Synchrony CCB2B - HIA incremental 8_2026 (ID: 132959)"

Targeted Accounts,Trending,Reached,Engaged,Predictive Buying Stage
mayfieldclinic.com,Yes,Yes,Yes,No Active Signals
totalhealthcare.org,Yes,Yes,Yes,No Active Signals
beloitmemorialhospital.org,Yes,Yes,Yes,No Active Signals
rochesterregional.org,Yes,Yes,Yes,Awareness
pmmconline.com,Yes,Yes,Yes,Awareness
gdx.net,Yes,Yes,Yes,No Active Signals
stfrancishawaii.org,Yes,Yes,Yes,No Active Signals
premiersurgical.com,Yes,Yes,Yes,No Active Signals
acadiahealthcare.com,Yes,Yes,Yes,Decision
mindpath.com,Yes,Yes,Yes,Decision
jupitermed.com,Yes,Yes,Yes,Awareness
vida.com,Yes,Yes,Yes,Decision
cfdsny.org,Yes,Yes,Yes,Decision
sbhny.org,Yes,Yes,Yes,Awareness
advocatehealth.org,Yes,Yes,Yes,Awareness
vhchealth.org,Yes,Yes,Yes,Decision
kintegra.org,Yes,Yes,Yes,Awareness
valleyhealthlink.com,Yes,Yes,Yes,Decision
rogersbh.org,Yes,Yes,Yes,Decision
judsonsmartliving.org,Yes,Yes,Yes,No Active Signals
ttbh.org,Yes,Yes,Yes,No Active Signals
communitycare.com,Yes,Yes,Yes,Awareness
hsag.com,Yes,Yes,Yes,Decision
parallon.com,Yes,Yes,Yes,Decision
includedhealth.com,Yes,Yes,Yes,Awareness
acpny.com,Yes,Yes,Yes,Decision
mercy.net,Yes,Yes,Yes,Decision
iqvia.com,Yes,Yes,Yes,Decision
skagitregionalhealth.org,Yes,Yes,Yes,Awareness
gaudenzia.org,Yes,Yes,Yes,Awareness
carilionclinic.org,Yes,Yes,Yes,Decision
carishealthcare.com,Yes,Yes,Yes,Awareness
laseraway.com,Yes,Yes,Yes,Decision
mediweightloss.com,Yes,Yes,Yes,Awareness
villages.org,Yes,Yes,Yes,No Active Signals
adventisthealthcare.com,Yes,Yes,Yes,Awareness
lifebridgehealth.org,Yes,Yes,Yes,Awareness
hanger.com,Yes,Yes,Yes,Awareness
integrisok.com,Yes,Yes,Yes,Decision
jrmc.org,Yes,Yes,Yes,Decision
ro.co,Yes,Yes,Yes,Awareness
davita.com,Yes,Yes,Yes,Decision
baptisthealthsystem.com,Yes,Yes,Yes,Preawareness
nyulangone.org,Yes,Yes,Yes,Decision
firstlighthomecare.com,Yes,Yes,Yes,Awareness
howardcenter.org,Yes,Yes,Yes,Awareness
reliant-rehab.com,Yes,Yes,Yes,Awareness
toa.com,Yes,Yes,Yes,Consideration
aspireindiana.org,Yes,Yes,Yes,Consideration
sofha.net,Yes,Yes,Yes,No Active Signals
primetimehealthcare.com,Yes,Yes,Yes,Awareness
ccrmivf.com,Yes,Yes,Yes,Awareness
soundfamilymedicine.com,Yes,Yes,Yes,Awareness
glh.org,Yes,Yes,Yes,Awareness
regencyhospital.com,Yes,Yes,Yes,Awareness
saintfrancis.com,Yes,Yes,Yes,Decision
maimonidesmed.org,Yes,Yes,Yes,Awareness
mahec.net,Yes,Yes,Yes,Awareness
lifestance.com,Yes,Yes,Yes,Decision
firsthealth.org,Yes,Yes,Yes,Awareness
iuhealth.org,Yes,Yes,Yes,Decision
medicalserviceco.com,Yes,Yes,Yes,Awareness
atlantichealth.org,Yes,Yes,Yes,Decision
vnahealth.com,Yes,Yes,Yes,Awareness
familyres.org,Yes,Yes,Yes,Awareness
pepcleve.org,Yes,Yes,Yes,No Active Signals
unityhc.com,Yes,Yes,Yes,Awareness
medminder.com,Yes,Yes,Yes,Awareness
proliancesurgeons.com,Yes,Yes,Yes,Awareness
childandfamilyfocus.org,Yes,Yes,Yes,No Active Signals
aspirus.org,Yes,Yes,Yes,Awareness
sparrow.org,Yes,Yes,Yes,Decision
tidalhealth.org,Yes,Yes,Yes,Awareness
kh.org,Yes,Yes,Yes,Decision
wvumedicine.org,Yes,Yes,Yes,Decision
skylakes.org,Yes,Yes,Yes,Awareness
adventhealth.com,Yes,Yes,Yes,Decision
libertyregional.org,Yes,Yes,Yes,No Active Signals
wellcarehealth.com,Yes,Yes,Yes,Decision
luthermanor.org,Yes,Yes,Yes,Awareness
lincare.com,Yes,Yes,Yes,Decision
bellin.org,Yes,Yes,Yes,Decision
hcfinc.com,Yes,Yes,Yes,No Active Signals
msmc.com,Yes,Yes,Yes,Awareness
childrensal.org,Yes,Yes,Yes,Decision
prismahealth.org,Yes,Yes,Yes,Decision
texasheart.org,Yes,Yes,Yes,No Active Signals
somc.org,Yes,Yes,Yes,Awareness
valleypres.org,Yes,Yes,Yes,Awareness
complexcaresolutions.com,Yes,Yes,Yes,Awareness
ensignservices.net,Yes,Yes,Yes,Decision
concentra.com,Yes,Yes,Yes,Awareness
ellismedicine.org,Yes,Yes,Yes,Awareness
cfaortho.com,Yes,Yes,Yes,Awareness
drwes.org,Yes,Yes,Yes,No Active Signals
modivcare.com,Yes,Yes,Yes,Decision
srhc.com,Yes,Yes,Yes,Awareness
curaleaf.com,Yes,Yes,Yes,Awareness
swedish.org,Yes,Yes,Yes,Decision
dulyhealthandcare.com,Yes,Yes,Yes,Awareness
caromonthealth.org,Yes,Yes,Yes,Awareness
beachbody.com,Yes,Yes,Yes,Decision
bamsi.org,Yes,Yes,Yes,Awareness
kch.org,Yes,Yes,Yes,Decision
summitortho.com,Yes,Yes,Yes,Awareness
parkview.com,Yes,Yes,Yes,Decision
epochsl.com,Yes,Yes,Yes,Awareness
cookchildrens.org,Yes,Yes,Yes,Decision
archbold.org,Yes,Yes,Yes,Awareness
southcoast.org,Yes,Yes,Yes,Awareness
genesisfqhc.org,Yes,Yes,Yes,Awareness
genesishcc.com,Yes,Yes,Yes,Decision
atriumhealth.org,Yes,Yes,Yes,Awareness
gacancer.com,Yes,Yes,Yes,Awareness
brgeneral.org,Yes,Yes,Yes,Decision
unitypoint.org,Yes,Yes,Yes,Decision
leehealth.org,Yes,Yes,Yes,Awareness
renfrewcenter.com,Yes,Yes,Yes,Decision
womenscarefl.com,Yes,Yes,Yes,No Active Signals
bidplymouth.org,Yes,Yes,Yes,Awareness
kaleidahealth.org,Yes,Yes,Yes,Decision
lifelongmedical.org,Yes,Yes,Yes,Awareness
pph.org,Yes,Yes,Yes,No Active Signals
sblhs.org,Yes,Yes,Yes,No Active Signals
bronxcare.org,Yes,Yes,Yes,Decision
naphcare.com,Yes,Yes,Yes,Awareness
urbanhealthplan.org,Yes,Yes,Yes,Awareness
selectmedicalcorp.com,Yes,Yes,Yes,Decision
marylandtreatment.org,Yes,Yes,Yes,No Active Signals
bannerhealth.com,Yes,Yes,Yes,Consideration
bmc.org,Yes,Yes,Yes,Awareness
st-marys.org,Yes,Yes,Yes,Consideration
nchmd.org,Yes,Yes,Yes,Awareness
mdanderson.org,Yes,Yes,Yes,Decision
nortonhealthcare.org,Yes,Yes,Yes,No Active Signals
chc1.com,Yes,Yes,Yes,No Active Signals
northshore.org,Yes,Yes,Yes,Decision
flcancer.com,Yes,Yes,Yes,Awareness
gphealth.org,Yes,Yes,Yes,Awareness
umcsn.com,Yes,Yes,Yes,Decision
homewatchcaregivers.com,Yes,Yes,Yes,Awareness
anmedhealth.org,Yes,Yes,Yes,Awareness
nmhs.net,Yes,Yes,Yes,Awareness
tddctx.com,Yes,Yes,Yes,No Active Signals
dchsystem.com,Yes,Yes,Yes,Decision
rchsd.org,Yes,Yes,Yes,Awareness
nlh.org,Yes,Yes,Yes,Awareness
aegisliving.com,Yes,Yes,Yes,Awareness
trumed.org,Yes,Yes,Yes,Awareness
cancercarenepa.com,Yes,Yes,Yes,No Active Signals
cedar.com,Yes,Yes,Yes,Decision
greeley.com,Yes,Yes,Yes,No Active Signals
midhosp.org,Yes,Yes,Yes,No Active Signals
communityreachcenter.org,Yes,Yes,Yes,No Active Signals
colemanservices.org,Yes,Yes,Yes,Awareness
pathgroup.com,Yes,Yes,Yes,Awareness
pressleyridge.org,Yes,Yes,Yes,Awareness
sarh.org,Yes,Yes,Yes,Decision
phci.org,Yes,Yes,Yes,No Active Signals
conemaugh.org,Yes,Yes,Yes,Awareness
thecentertx.com,Yes,Yes,Yes,No Active Signals
kelsey-seybold.com,Yes,Yes,Yes,Awareness
sinai.org,Yes,Yes,Yes,Awareness
lmhealth.org,Yes,Yes,Yes,Awareness
equinox.com,Yes,Yes,Yes,Decision
falck.com,Yes,Yes,Yes,Awareness
tiftregional.com,Yes,Yes,Yes,Consideration
ernesthealth.com,Yes,Yes,Yes,Awareness
hshs.org,Yes,Yes,Yes,Awareness
metcouncil.org,Yes,Yes,Yes,Awareness
institute.org,Yes,Yes,Yes,No Active Signals
phs.org,Yes,Yes,Yes,Decision
citruscardiology.org,Yes,Yes,Yes,No Active Signals
mhhc.org,Yes,Yes,Yes,No Active Signals
citizensmemorial.com,Yes,Yes,Yes,Awareness
swhd.org,Yes,Yes,Yes,Awareness
stanfordchildrens.org,Yes,Yes,Yes,Decision
vivage.com,Yes,Yes,Yes,No Active Signals
pthomecare.com,Yes,Yes,Yes,No Active Signals
hospicechesapeake.org,Yes,Yes,Yes,No Active Signals
kindred.com,Yes,Yes,Yes,Consideration
emcare.com,Yes,Yes,Yes,Decision
fmolhs.org,Yes,Yes,Yes,Awareness
neuroskills.com,Yes,Yes,Yes,Awareness
unionsettlement.org,Yes,Yes,Yes,Awareness
imsaz.com,Yes,Yes,Yes,Awareness
bsmhealth.org,Yes,Yes,Yes,Awareness
mskcc.org,Yes,Yes,Yes,Decision
alicehyde.com,Yes,Yes,Yes,No Active Signals
marshfieldclinic.org,Yes,Yes,Yes,Decision
assistinghands.com,Yes,Yes,Yes,Awareness
valleybaptist.net,Yes,Yes,Yes,Awareness
schweigerderm.com,Yes,Yes,Yes,Awareness
whiteriverhealth.org,Yes,Yes,Yes,Awareness
palomarhealth.org,Yes,Yes,Yes,Awareness
athletico.com,Yes,Yes,Yes,Awareness
equitashealth.com,Yes,Yes,Yes,No Active Signals
cvch.org,Yes,Yes,Yes,Awareness
surgerypartners.com,Yes,Yes,Yes,Decision
nucara.com,Yes,Yes,Yes,No Active Signals
lscctx.org,Yes,Yes,Yes,No Active Signals
vayahealth.com,Yes,Yes,Yes,Awareness
ensemblehp.com,Yes,Yes,Yes,Decision
hoacny.com,Yes,Yes,Yes,Awareness
asahq.org,Yes,Yes,Yes,Decision
samhealth.org,Yes,Yes,Yes,Decision
browardhealth.org,Yes,Yes,Yes,Awareness
pellahealth.org,Yes,Yes,Yes,No Active Signals
vmh.org,Yes,Yes,Yes,Awareness
trihealth.com,Yes,Yes,Yes,Awareness
opelousasgeneral.com,Yes,Yes,Yes,Awareness
ecri.org,Yes,Yes,Yes,Awareness
milebluff.com,Yes,Yes,Yes,Awareness
sphp.com,Yes,Yes,Yes,Decision
lifelinkiii.com,Yes,Yes,Yes,No Active Signals
atriushealth.org,Yes,Yes,Yes,Decision
healthfirst.org,Yes,Yes,Yes,Decision
hfsc.org,Yes,Yes,Yes,Awareness
christianacare.org,Yes,Yes,Yes,Decision
oneoncology.com,Yes,Yes,Yes,Preawareness
skillcreations.com,Yes,Yes,Yes,No Active Signals
proscan.com,Yes,Yes,Yes,Decision
flhealth.org,Yes,Yes,Yes,No Active Signals
mysrhs.com,Yes,Yes,Yes,Awareness
compassus.com,Yes,Yes,Yes,Decision
presbyterianhomes.org,Yes,Yes,Yes,Decision
envisionhealth.com,Yes,Yes,Yes,Awareness
griffinhealth.org,Yes,Yes,Yes,Awareness
avmc.org,Yes,Yes,Yes,Awareness
aultman.com,Yes,Yes,Yes,Awareness
seniorhelpers.com,Yes,Yes,Yes,Decision
towerhealth.org,Yes,Yes,Yes,Awareness
orlandohealth.com,Yes,Yes,Yes,Decision
nyp.org,Yes,Yes,Yes,Decision
thedoctorsclinic.com,Yes,Yes,Yes,Consideration
olympicmedical.org,Yes,Yes,Yes,Awareness
radntx.com,Yes,Yes,Yes,Awareness
seniorlifestyle.com,Yes,Yes,Yes,Decision
renown.org,Yes,Yes,Yes,Decision
clevelandclinic.org,Yes,Yes,Yes,Decision
commhealth.org,Yes,Yes,Yes,No Active Signals
midwest-health.com,Yes,Yes,Yes,Awareness
philips.com,Yes,Yes,Yes,Decision
noranclinic.com,Yes,Yes,Yes,Awareness
communitymedical.org,Yes,Yes,Yes,Awareness
fairview.org,Yes,Yes,Yes,Decision
thresholds.org,Yes,Yes,Yes,Awareness
cooperhealth.org,Yes,Yes,Yes,Decision
panoramichealth.com,Yes,Yes,Yes,No Active Signals
pomerenehospital.org,Yes,Yes,Yes,No Active Signals
bradfordhealth.com,Yes,Yes,Yes,Awareness
teampbs.com,Yes,Yes,Yes,Awareness
buffalomedicalgroup.com,Yes,Yes,Yes,Awareness
christushealth.org,Yes,Yes,Yes,Decision
healthtrustpg.com,Yes,Yes,Yes,Awareness
finthrive.com,Yes,Yes,Yes,Decision
rumcsi.org,Yes,Yes,Yes,Awareness
retinaconsultantstexas.com,Yes,Yes,Yes,No Active Signals
pihhealth.org,Yes,Yes,Yes,Awareness
rsfh.com,Yes,Yes,Yes,Awareness
chghospitals.com,Yes,Yes,Yes,No Active Signals
arh.org,Yes,Yes,Yes,Decision
learnbehavioral.com,Yes,Yes,Yes,Awareness
ochsnerlsuhs.org,Yes,Yes,Yes,Awareness
familylinks.org,Yes,Yes,Yes,Awareness
primaryhealth.com,Yes,Yes,Yes,No Active Signals
bronsonhg.org,Yes,Yes,Yes,Awareness
ketteringhealth.org,Yes,Yes,Yes,Decision
caregiversamerica.com,Yes,Yes,Yes,Awareness
greenwichhospital.org,Yes,Yes,Yes,Awareness
inlandimaging.com,Yes,Yes,Yes,Awareness
centromedsa.com,Yes,Yes,Yes,Awareness
nexusfamilyhealing.org,Yes,Yes,Yes,Awareness
yorkhospital.com,Yes,Yes,Yes,Awareness
hendricks.org,Yes,Yes,Yes,Awareness
thedacare.org,Yes,Yes,Yes,Decision
nationwidechildrens.org,Yes,Yes,Yes,Decision
campbellclinic.com,Yes,Yes,Yes,Awareness
westcare.com,Yes,Yes,Yes,Awareness
gundersenhealth.org,Yes,Yes,Yes,Decision
bmcjax.com,Yes,Yes,Yes,Awareness
